breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
subtype,numbered_list,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1054
subtype,numbered_list,6,qtraj_teacher_margin,0.0,0.6870612244457837,0.8397363075418637,0.728548922047374,0.8051505759781978,0.9624740878740946,1.0,0.9833024118738405,0.8333333333333334,6,3.8333333333333335,16.5,1.002302471833722,0.6666666666666666,40.0,0.1528938915717906,0.11802107344375525,1054
subtype,numbered_list,6,qtraj_topk_delta,0.16666666666666666,0.6925821188305337,0.8506203175957845,0.7371866808376079,0.828263348046122,0.9685307641824087,1.0,0.9956194599051743,1.0,6,-0.3333333333333333,6.0,0.9984123081779331,0.6666666666666666,24.166666666666668,0.055804256034925635,0.04851355495963255,1054
subtype,numbered_list,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0.0,0.0,1.0,0.5,0.0,0.03648822242675243,0.0340777337539357,1054
subtype,patient_teacher,6,base_no_prompt,0.0,0.10648759074288973,0.4343497539991537,0.15918831617778761,0.2427041127915508,0.8165447115898132,0.6666666666666666,0.7323412698412698,,0,20.333333333333332,35.666666666666664,1.1181580483077251,0.5,58.333333333333336,0.3492247985054153,0.3246874785770108,939
subtype,patient_teacher,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,,0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,939
subtype,patient_teacher,6,qtraj_teacher_margin,0.0,0.1960771987076065,0.4004845591235659,0.23868427030101128,0.3253364370155257,0.8397649824619293,0.8333333333333334,0.832936507936508,,0,81.83333333333333,81.83333333333333,1.7285538713901154,0.16666666666666666,261.6666666666667,0.4350234804530054,0.4383683684654462,939
subtype,patient_teacher,6,qtraj_topk_delta,0.0,0.2126988943820779,0.4650634009630464,0.286427923489271,0.33973220070977406,0.8792095283667246,0.5,0.7494897959183674,,0,37.666666666666664,64.0,1.3843102112473549,0.6666666666666666,139.83333333333334,0.18406553545760337,0.20517065566508544,939
subtype,patient_teacher,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.999999980131785,1.0,1.0,,0,0.0,0.0,1.0,0.8333333333333334,0.0,0.14987216181503507,0.15858756214578373,939
subtype,pipe_line,6,base_no_prompt,0.0,0.06305140279037469,0.15801609069161765,0.11034553678516568,0.14133275351124266,0.7642209132512411,0.5,0.4145081109366824,0.0,6,73.0,73.0,6.361616161616162,0.5,286.1666666666667,0.8382589722397187,0.21805852151013372,685
subtype,pipe_line,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999602635702,1.0,1.0,0.8333333333333334,6,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,685
subtype,pipe_line,6,qtraj_teacher_margin,0.5,0.5731412999995579,0.7454035721561746,0.6926984183695272,0.7454035721561746,0.9692292412122091,1.0,1.0,0.8333333333333334,6,-61.0,68.0,0.7772135416666667,1.0,-123.16666666666667,2.213154846925639,4.037756080836875,685
